AF,UZ TM TJ PK IR CN
AL,RS ME MK XK GR
DZ,EH TN NE MA MR ML LY
AS,
AD,ES FR
AO,ZM NA CD CG
AI,
AG,
AR,UY PY CL BR BO
AM,TR IR GE AZ
AW,
AU,
AT,CH SI SK LI IT HU DE CZ
AZ,TR RU IR GE AM
BS,
BH,
BD,MM IN
BB,
BY,UA RU PL LT LV
BE,NL LU DE FR
BZ,MX GT
BJ,TG NG NE BF
BM,
BT,IN CN
BO,PE PY CL BR AR
BA,RS ME HR
BW,ZW ZA NA ZM
BR,VE UY SR PE PY GY GF CO BO AR
VG,
IO,
BN,MY
BG,TR RS RO MK GR
BF,TG NE ML CI GH BJ
BI,TZ RW CD
KH,VN TH LA
CM,NG GA GQ CG TD CF
CA,US
CV,
KY,
CF,SD SS CD CG TD CM
TD,SD NG NE LY CF CM
CL,PE BO AR
CN,VN TJ RU PK KP NP MM MN LA KG KZ IN BT AF
CX,
CC,
CO,VE PE PA EC BR
KM,
CD,ZM UG TZ SS RW CG CF BI AO
CG,GA CD CF CM AO
CK,
CR,PA NI
CI,ML LR GN GH BF
HR,SI RS ME HU BA
CU,US
CW,
CY,
CZ,SK PL DE AT
DK,DE
DJ,SO ET ER
DM,
DO,HT
EC,PE CO
EG,SD PS LY IL
SV,HN GT
GQ,GA CM
ER,SD ET DJ
EE,RU LV
ET,SD SS SO KE ER DJ
FO,
FK,
FJ,
FI,SE RU NO
FR,CH ES MC LU IT DE BE AD
GF,SR BR
PF,
GA,GQ CG CM
GM,SN
GE,TR RU AZ AM
DE,CH PL NL LU FR DK CZ BE AT
GH,TG CI BF
GI,ES
GR,TR MK BG AL
GL,
GD,
GP,
GU,
GT,MX HN SV BZ
GG,
GN,SL SN ML LR CI GW
GW,SN GN
GY,VE SR BR
HT,DO
VA,IT
HN,NI GT SV
HK,
HU,UA SI SK RS RO HR AT
IS,
IN,PK NP MM CN BT BD
ID,PG MY TL
IR,TM TR PK IQ AZ AM AF
IQ,TR SY SA KW JO IR
IE,GB
IM,
IL,SY PS LB JO EG
IT,VA CH SI SM FR AT
JM,
JP,
JE,
JO,SY SA PS IL IQ
KZ,UZ TM RU KG CN
KE,UG TZ SS SO ET
KI,
KP,KR RU CN
KR,KP
XK,RS ME MK AL
KW,SA IQ
KG,UZ TJ KZ CN
LA,VN TH MM CN KH
LV,RU LT EE BY
LB,SY IL
LS,ZA
LR,SL CI GN
LY,TN SD NE EG TD DZ
LI,CH AT
LT,RU PL LV BY
LU,DE FR BE
MO,
MK,RS XK GR BG AL
MG,
MW,ZM TZ MZ
MY,TH ID BN
MV,
ML,SN NE MR CI GN BF DZ
MT,
MH,
MQ,
MR,EH SN ML DZ
MU,
YT,
MX,US GT BZ
FM,
MD,UA RO
MC,FR
MN,RU CN
ME,RS XK HR BA AL
MS,
MA,EH ES DZ
MZ,ZW ZM TZ SZ ZA MW
MM,TH LA IN CN BD
NA,ZM ZA BW AO
NR,
NP,IN CN
NL,DE BE
NC,
NZ,
NI,HN CR
NE,NG ML LY TD BF BJ DZ
NG,NE TD CM BJ
NU,
NF,
MP,
NO,SE RU FI
OM,YE AE SA
PK,IR IN CN AF
PW,
PS,JO IL EG
PA,CR CO
PG,ID
PY,BR BO AR
PE,EC CO CL BR BO
PH,
PN,
PL,UA SK RU LT DE CZ BY
PT,ES
PR,
QA,SA
RE,
RO,UA RS MD HU BG
RU,UA PL NO KP MN LT LV KZ GE FI EE CN BY AZ
RW,UG TZ CD BI
BL,
SH,
KN,
LC,
MF,SX
VC,
PM,
WS,
SM,IT
ST,
SA,YE AE QA OM KW JO IQ
SN,MR ML GW GN GM
RS,RO ME MK XK HU HR BG BA AL
SC,
SL,LR GN
SG,
SK,UA PL HU CZ AT
SI,IT HU HR AT
SB,
SO,KE ET DJ
ZA,ZW SZ NA MZ LS BW
SS,UG SD KE ET CD CF
ES,PT MA GI FR AD
LK,
SD,SS LY ET ER EG TD CF
SR,GY GF BR
SJ,
SZ,ZA MZ
SE,NO FI
CH,LI IT DE FR AT
SY,TR LB JO IL IQ
TW,
TJ,UZ KG CN AF
TZ,ZM UG RW MZ MW KE CD BI
TH,MM MY LA KH
TL,ID
TG,GH BF BJ
TK,
TO,
TT,
TN,LY DZ
TR,SY IQ IR GR GE BG AZ AM
TM,UZ KZ IR AF
TC,
TV,
UG,TZ SS RW KE CD
UA,SK RU RO PL MD HU BY
AE,SA OM
GB,IE
US,MX CU CA
UY,BR AR
UZ,TM TJ KG KZ AF
VU,
VE,GY CO BR
VN,LA CN KH
VI,
WF,
EH,MA MR DZ
YE,SA OM
ZM,ZW TZ NA MZ MW CD AO BW
ZW,ZM ZA MZ BW
AX,
SX,MF
AQ,
UM,
BQ,
